_id,endTime,artistName,trackName,msPlayed
6613f62aaacd8fc35bce4c9d,2023-04-10 12:17,INXS,Never Tear Us Apart,39311
6613f62aaacd8fc35bce4c9e,2023-04-10 12:22,Tracy Chapman,Fast Car,296800
6613f62aaacd8fc35bce4c9f,2023-04-10 12:27,U2,With Or Without You,295516
6613f62aaacd8fc35bce4ca0,2023-04-10 12:40,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,81493
6613f62aaacd8fc35bce4ca1,2023-04-10 20:48,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster,163094
6613f62aaacd8fc35bce4ca2,2023-04-10 20:51,INXS,Never Tear Us Apart,184587
6613f62aaacd8fc35bce4ca3,2023-04-10 21:40,ABBA,The Winner Takes It All,205645
6613f62aaacd8fc35bce4ca4,2023-04-11 03:56,Tracy Chapman,Baby Can I Hold You,891
6613f62aaacd8fc35bce4ca5,2023-04-11 03:56,Tracy Chapman,Baby Can I Hold You,340
6613f62aaacd8fc35bce4ca6,2023-04-11 03:56,Tracy Chapman,Baby Can I Hold You,327
6613f62aaacd8fc35bce4ca7,2023-04-11 03:56,ABBA,The Winner Takes It All,21674
6613f62aaacd8fc35bce4ca8,2023-04-11 03:56,ABBA,The Winner Takes It All,1273
6613f62aaacd8fc35bce4ca9,2023-04-11 03:56,The Police,Every Breath You Take,529
6613f62aaacd8fc35bce4caa,2023-04-11 03:58,The Police,Every Breath You Take,68213
6613f62aaacd8fc35bce4cab,2023-04-11 04:01,The Police,Every Breath You Take,229103
6613f62aaacd8fc35bce4cac,2023-04-11 04:05,Tracy Chapman,Baby Can I Hold You,193120
6613f62aaacd8fc35bce4cad,2023-04-11 04:10,ABBA,The Winner Takes It All,294720
6613f62aaacd8fc35bce4cae,2023-04-11 04:14,The Bangles,Eternal Flame,238027
6613f62aaacd8fc35bce4caf,2023-04-11 04:18,Kate Bush,Running Up That Hill (A Deal With God),298933
6613f62aaacd8fc35bce4cb0,2023-04-11 04:22,The Bangles,Eternal Flame,235667
6613f62aaacd8fc35bce4cb1,2023-04-11 04:23,The Bangles,Walk Like an Egyptian,51939
6613f62aaacd8fc35bce4cb2,2023-04-11 04:24,The Bangles,Hazy Shade of Winter,23995
6613f62aaacd8fc35bce4cb3,2023-04-11 11:30,Berlin,"Take My Breath Away - Love Theme from ""Top Gun""",215940
6613f62aaacd8fc35bce4cb4,2023-04-11 15:35,Tracy Chapman,Fast Car,50910
